coach_name,Country,Discipline
DIAZ FERNANDEZ Jenaro Manuel,Spain,Basketball
GINZBURG Ronen,Czech Republic,Basketball
PIBIRI Rossella,Italy,Artistic Swimming
SEO Chun Oh,Republic of Korea,Rugby Sevens
BLENGINI Gianlorenzo,Italy,Volleyball
GOJKOVIC Vladimir,Montenegro,Water Polo
MAYBURY Elena,United States of America,Football
DEMCHENKO Zhanna,Kazakhstan,Artistic Swimming
CAMPAGNA Alessandro,Italy,Water Polo
KUZIN Andrey,ROC,Rugby Sevens
KITABAYASHI Kenji,Japan,Handball
MIYAKAWA Miya,Japan,Artistic Swimming
SAVIC Maja,Montenegro,Handball
BUNTING Allan,New Zealand,Rugby Sevens
FULI Saiasi,Fiji,Rugby Sevens
BANBULA Wojciech,Poland,Volleyball
NOTOANE David,South Africa,Football
ALAMEDA Lonni,Canada,Baseball/Softball
HERNANDEZ FRAILE Jose Ignacio,Spain,Basketball
CADENAS MONTANES Manuel,Argentina,Handball
MASHA Mario,South Africa,Football
POROBIC Petar,People's Republic of China,Water Polo
SALAM Mohamed,Egypt,Football
TARR Heather,United States of America,Baseball/Softball
BABER Gareth Colin,Fiji,Rugby Sevens
BERG Laura,United States of America,Baseball/Softball
KRUMBHOLZ Olivier,France,Handball
ALEKNO Vladimir,Islamic Republic of Iran,Volleyball
AXNER Tomas,Sweden,Handball
ENGELLAND Chip,United States of America,Basketball
VIVER ARZA Carlos Enrique,Spain,Handball
DYKSTRA Trisha,Australia,Basketball
NAGAE Shoji,Japan,Volleyball
SCHILLING April,Nigeria,Basketball
COLLET Vincent,France,Basketball
SPERAW John,United States of America,Volleyball
YAMAJI Noriko,Japan,Baseball/Softball
KIM Hagbum,Republic of Korea,Football
GILLE Guillaume,France,Handball
POWELL Neil,South Africa,Rugby Sevens
SEKULIC Aleksander,Slovenia,Basketball
MAYONNADE Emmanuel,Netherlands,Handball
HOAG Glenn,Canada,Volleyball
LAVARINI Stefano,Republic of Korea,Volleyball
